"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12"
"44",5.93963833498737,8.39671670679439,13.1356419799264,10.7317028123222,6.37607184918707,4.76085027235303,7.27635839099008,13.008392373487,6.34589032116292,14.3925692996796,2.7182199340946,9.34931868620229
"60",0.848519762141053,11.9953095811348,3.75304056569325,7.15446854154813,1.06267864153118,3.80868021788242,2.72863439662128,2.00129113438262,3.17294516058146,7.19628464983978,4.07732990114191,7.01198901465172
"67",2.54555928642316,5.99765479056742,8.13158789233537,3.57723427077407,13.8148223399053,2.85651016341182,0.90954479887376,2.00129113438262,8.4611870948839,0.685360442841884,0,2.33732967155057
"74",8.48519762141053,7.19718574868091,6.88057437043762,12.5203199477092,8.50142913224942,6.66519038129424,12.7336271842326,20.0129113438262,7.40353870802341,6.16824398557696,14.9502096375203,9.34931868620229
"75",4.24259881070526,4.79812383245394,4.37854732664212,2.68292570308055,11.689465056843,1.90434010894121,4.5477239943688,8.00516453753049,12.6917806423258,0.342680221420942,1.3591099670473,0
"92",8.48519762141053,5.99765479056742,4.37854732664212,0,0,8.56953049023545,5.45726879324256,1.00064556719131,1.05764838686049,4.79752309989319,1.3591099670473,7.01198901465172
"105",11.0307569078337,7.19718574868091,9.38260141423311,10.7317028123222,8.50142913224942,8.56953049023545,17.2813511786014,9.0058101047218,16.9223741897678,22.6168946137822,4.07732990114191,4.67465934310115
"202",5.09111857284632,3.59859287434045,2.5020270437955,0,1.06267864153118,1.90434010894121,14.5527167819802,1.00064556719131,4.23059354744195,6.16824398557696,6.79554983523651,4.67465934310115
"216",1.69703952428211,4.79812383245394,10.008108175182,7.15446854154813,3.18803592459353,4.76085027235303,8.18590318986384,2.00129113438262,2.11529677372097,4.79752309989319,2.7182199340946,0
"239",12.7277964321158,8.39671670679439,1.87652028284662,5.3658514061611,9.5641077737806,5.71302032682363,9.0954479887376,10.0064556719131,4.23059354744195,12.3364879711539,13.591099670473,9.34931868620229
"246",2.54555928642316,3.59859287434045,6.88057437043762,3.57723427077407,4.25071456612471,1.90434010894121,7.27635839099008,1.00064556719131,14.8070774160468,9.59504619978638,5.43643986818921,0
"250",27.1526323885137,21.5915572460427,20.6417231113129,21.4634056246444,18.06553690603,19.0434010894121,20.9195303740965,16.010329075061,23.2682645109307,45.5764694489853,16.3093196045676,42.0719340879103
"274",11.0307569078337,11.9953095811348,14.3866555018241,10.7317028123222,5.31339320765589,12.3782107081179,9.0954479887376,7.00451897033918,9.51883548174438,11.651127528312,12.2319897034257,7.01198901465172
"284",11.0307569078337,10.7957786230214,10.008108175182,7.15446854154813,5.31339320765589,3.80868021788242,9.0954479887376,8.00516453753049,9.51883548174438,2.05608132852565,1.3591099670473,0
"286",6.78815809712842,10.7957786230214,6.25506760948874,7.15446854154813,2.12535728306236,7.61736043576484,8.18590318986384,2.00129113438262,1.05764838686049,9.59504619978638,9.51376976933112,11.6866483577529
"326",0.848519762141053,3.59859287434045,3.75304056569325,8.94308567693516,4.25071456612471,17.1390609804709,5.45726879324256,23.0148480454002,30.6718032189541,11.993807749733,25.8230893738987,28.0479560586069
"329",6.78815809712842,4.79812383245394,6.88057437043762,5.3658514061611,3.18803592459353,7.61736043576484,3.63817919549504,3.00193670157393,1.05764838686049,5.48288354273507,5.43643986818921,11.6866483577529
"342",14.4248359563979,15.5939024554753,13.7611487408752,7.15446854154813,7.43875049071825,7.61736043576484,9.0954479887376,10.0064556719131,6.34589032116292,4.1121626570513,8.15465980228381,2.33732967155057
"423",10.1822371456926,4.79812383245394,6.25506760948874,22.3577141923379,7.43875049071825,10.4738705991767,8.18590318986384,12.0077468062957,12.6917806423258,11.3084473068911,2.7182199340946,2.33732967155057
"432",6.78815809712842,2.39906191622697,2.5020270437955,8.04877710924165,7.43875049071825,9.52170054470606,2.72863439662128,3.00193670157393,5.28824193430243,4.79752309989319,4.07732990114191,4.67465934310115
"504",4.24259881070526,2.39906191622697,3.75304056569325,1.78861713538703,3.18803592459353,0.952170054470605,10.0049927876114,17.0109746422523,11.6341322554654,1.71340110710471,1.3591099670473,7.01198901465172
