Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0.322333665341014	0	0
25	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	1.08305151806128	0	0	0	1.05186254545895	0	0	0
27	0	0	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0.972372742229854	0	0	1.05186254545895	0.644667330682027	0	0
32	0.852200849246787	0	0.661081326238115	0	1.08305151806128	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	0	0	0
36	0	0	0	0	0	0	0	0	0	0	0	0
37	0	0	0.661081326238115	0	1.08305151806128	0	1.81308663978755	0	1.05186254545895	0.322333665341014	0	0
38	3.40880339698715	2.36177749042348	2.64432530495246	0	0	0.972372742229854	4.53271659946888	0	2.10372509091791	0.967000996023041	0	0
39	0	1.18088874521174	0	0	0	0	0	0	0	0.322333665341014	0	0
40	1.70440169849357	2.36177749042348	0.661081326238115	0	0	0.972372742229854	0	0	0	0	0	0
41	0	0	0	0	0	0	0	0	0	0	0	0
42	2.55660254774036	0	0	6.45327854472796	0	0	0.906543319893776	0	0	0.967000996023041	0	0
43	0	0	0	0	0	0	0.906543319893776	0	1.05186254545895	0	0	0
