"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"326",13.6284823054617,1.8779923090438,0.565365055045364,3.32173397043988,0.000894599436977734,0.0195377141189005
"678",11.1328251296362,1.72671093479901,0.485424041446738,3.55711869905081,0.0003749447635162,0.01084996409425
"806",182.319023459616,-1.46409603261259,0.291365959050614,-5.0249385253624,5.03593823455466e-07,9.71516417749504e-05
"881",56.3155411594851,-1.75543231500417,0.503614279076092,-3.48566827418914,0.000490909356386635,0.0133700607062948
"1144",270.214133178683,-1.70571563113717,0.31534428274654,-5.40905836719465,6.33569807453493e-08,1.83339263031855e-05
"1304",3.54647297214389,2.79774583308726,0.768332868450465,3.64131999029224,0.000271243749116756,0.00879363396286533
"1633",8.04650698151643,-1.42989227236458,0.48047114321584,-2.97602112541905,0.00292014745580409,0.0423166720257641
"1738",2924.14360809396,-0.783699925066571,0.25796305531175,-3.03803164418046,0.00238128947438369,0.0365078485642268
"1739",39.7837812895163,-1.1107425122526,0.374671835705469,-2.9645743458704,0.00303101993922263,0.0435826780080769
"1907",159.379816290831,-0.98202857789368,0.299996575659496,-3.2734659578525,0.00106237186645495,0.0215438874938004
"2254",3.44341562413417,2.75628790671584,0.875632631578828,3.14776746241863,0.00164522516281724,0.0290740171902436
"2569",23.0263560991908,-2.00023625758402,0.430968585051166,-4.64125768551446,3.46294948288496e-06,0.000348553393603421
"3065",4715.87522497621,-0.976586894949347,0.267091941055682,-3.65636975450994,0.0002558122933725,0.00858268781387446
"3071",5324.05344142826,-1.15473672643213,0.295731212083185,-3.90468330447082,9.43488566371216e-05,0.00445750210438646
"3292",4.37139305298949,2.84254596479346,0.740057299485407,3.84098091697765,0.000122543641829548,0.00535261378934726
"3431",532.906107138979,2.26794409037942,0.634484857085937,3.57446527691084,0.000350944380446998,0.0102840030472759
"3626",8.2729931202124,3.69230549073861,0.620608242831299,5.94949476322424,2.68971447230011e-09,1.55667225084369e-06
"3748",114.774030144395,-1.37997399485812,0.424608992041158,-3.24998768449151,0.00115410006329889,0.0225402360972409
"3752",9.72209591492851,-2.37492762600468,0.652720011646183,-3.63850898337716,0.000274221064377939,0.00879363396286533
"4624",376.067826320792,-0.760631632640466,0.254801092663849,-2.98519768768787,0.00283395108922847,0.0417872405832096
"5024",2.94824938012958,2.1643289925497,0.742520693485281,2.91483996545694,0.0035587097674935,0.0488735188922837
"6194",54.5106898212429,2.12999162565876,0.433915189506291,4.90877405808785,9.1647490380087e-07,0.000132602462643688
"6415",37.2137686161286,-1.76757085074311,0.603792244417619,-2.92744874927634,0.00341755381184214,0.0476604643037022
"6693",11.3052508224374,1.36208021111514,0.405424464539803,3.35963990890691,0.000780441230573356,0.0175409849395856
"6758",6.76026265866447,-1.62261588859474,0.492213346001166,-3.29657028151954,0.000978731233766575,0.0209616754023727
"6896",1939.00868494005,-1.39126893887053,0.42164534526905,-3.29961887278222,0.000968162146611958,0.0209466856953896
"7068",25.1112215045599,-2.17477928664977,0.458228464197117,-4.74605891290559,2.0741832259033e-06,0.000252722850945586
"7069",1621.01483525465,-1.77382725965166,0.290478252924315,-6.10657507677121,1.01791765813817e-09,1.17823968929493e-06
"7244",24.9346031192814,-1.0050624067397,0.335080881371246,-2.99946210785497,0.0027045676247705,0.0403940261377013
"7914",9605.98728785745,-1.24399528524076,0.426897512244626,-2.91403732642957,0.00356787243749285,0.0488735188922837
"8044",18.8420737737362,1.6598544275669,0.537212837053646,3.08975198111497,0.00200323699708294,0.0328426220006312
"8442",18.1395528368021,-1.061848515358,0.360824949408519,-2.9428356245837,0.00325221048016825,0.045907727204814
"8864",6.93383486047677,2.00145380409736,0.609942904107552,3.28137894648651,0.00103300855701585,0.0213519179418902
"9157",10.7344188620345,2.38630015887454,0.506812599658839,4.70844679173501,2.49611502593116e-06,0.000288489293896334
"9267",7.31168753409378,1.74441817770074,0.470203786342491,3.70991946124,0.000207325191083666,0.00773285620636542
"9397",5926.7264495936,-1.35641491210761,0.30977861494277,-4.37865897346788,1.1941181941098e-05,0.00092146120645473
"9598",32.3953834354486,0.95311369535006,0.309984303406152,3.07471599328453,0.00210703091101864,0.0338904740589794
"10413",15.9044997797175,-1.47626942942301,0.466336438261569,-3.1656746252262,0.00154723759441074,0.0277663180702392
"10436",12.1656711105599,-2.85963013957872,0.65707162867555,-4.35208280921037,1.34850306427853e-05,0.000969648800641183
"10486",10.7925018635665,-1.17904966210939,0.395413818543586,-2.98181198232307,0.00286547919561237,0.0419847109990041
"10701",5.88613290560805,1.96889581808834,0.576410310819818,3.41578868582003,0.000635975782428158,0.0157305888147801
"10978",4.88062816863603,1.68128954118901,0.546837987042092,3.07456610738272,0.00210808996306395,0.0338904740589794
"11352",4.99334859786161,2.10857279971257,0.59378990207412,3.55104186236121,0.000383709380171845,0.0109018257737229
"12274",12.9201872821277,-2.08679485147286,0.423797924743706,-4.92403272794425,8.4778648059201e-07,0.000132602462643688
"12439",66.8707861608247,-1.88949003293021,0.380411782612299,-4.96695980328219,6.80106782893106e-07,0.000121111323261349
"12692",7.21665665939413,1.48850363761496,0.46707467178027,3.18686438710428,0.00143824193060262,0.0260736763561279
"12753",4.28987759151173,1.82399021274376,0.580931973810131,3.13976557492755,0.00169083079010363,0.0294306261585707
"13076",4.63081424328335,-4.17533665393675,0.861296399389502,-4.84773494571239,1.2487909490864e-06,0.000170055943949118
"13085",11.2336138653198,1.13925393960558,0.388133313145035,2.93521298229784,0.00333318815973984,0.046765639938168
"13564",4.08476789186197,-3.14121920827882,0.836880044834315,-3.75348800305152,0.000174390882314914,0.0072091945099826
"13638",125.417772387457,2.03538140981681,0.476126316151966,4.2748769407805,1.9124289547393e-05,0.00119020975265172
"13652",927.365167958293,-1.04481823244523,0.282219381311154,-3.70214911389552,0.000213780905921118,0.00773285620636542
"14037",3.97117914728033,3.15258290864318,0.810945339696881,3.88754057064014,0.000101265065930161,0.00468857255256646
"14047",5.58103579091938,1.93816101886581,0.626656029078658,3.09286263744306,0.00198235869007646,0.0328426220006312
"14124",38.1094524882039,1.61059487100246,0.434607005845527,3.70586495233562,0.000210670536398872,0.00773285620636542
"14172",23.0986136419759,1.63642123485475,0.500597263717836,3.26893763402015,0.00107952092841505,0.0215438874938004
"14174",28.4732652487856,1.45334921570379,0.444175197507225,3.2720179421548,0.00106782799223564,0.0215438874938004
"14195",29.3389309825004,-1.09749707752702,0.354893799078398,-3.0924661979923,0.00198500838741935,0.0328426220006312
"14198",5.47900115355877,3.2438911413562,0.701548015500405,4.6239046646613,3.76582998379886e-06,0.000348715856499774
"15910",11.8199028133399,-1.51718482851034,0.446666120856784,-3.39668660251221,0.000682070348641545,0.0164104281482312
"15920",29.6707578230267,-1.4375144297208,0.371662997247487,-3.86779001505919,0.000109826173838633,0.00488937677762376
"16598",5.78309844770622,2.43061047535399,0.607823557020866,3.99887508024068,6.36442585693091e-05,0.00320296649104241
"16669",6.07056638008464,-2.09453963166716,0.63752571632434,-3.28541983175714,0.00101830515934877,0.0213519179418902
"17240",14.737624678169,2.12682597664264,0.622860792524983,3.41460885348203,0.000638736651658456,0.0157305888147801
